home_team,venue,park_factor
COL,Coors Field,1.14
BOS,Fenway Park,1.02
AZ,Chase Field,1.00
CIN,Great American Ball Park,1.02
MIN,Target Field,1.03
ATL,Truist Park,1.00
MIA,loanDepot park,1.02
LAA,Angel Stadium,1.01
WSH,Nationals Park,1.00
LAD,Dodger Stadium,.98
KC,Kauffman Stadium,1.03
PHI,Citizens Bank Park,1.02
BAL,Oriole Park at Camden Yards,.98
STL,Busch Stadium,.99
TOR,Rogers Centre,1.00
NYY,Yankee Stadium,.99
DET,Comerica Park,1.03
HOU,Daikin Park,1.00
CWS,Rate Field,0.98
PIT,PNC Park,1.02
NYM,Citi Field,0.98
TEX,Globe Life Field,0.97
SF,Oracle Park,0.96
CLE,Progressive Field,1.00
MIL,American Family Field,0.98
CHC,Wrigley Field,0.96
SD,Petco Park,0.97
SEA,T-Mobile Park,0.92
TB,Tropicana Field,1.02
OAK,Oakland Coliseum,1.05
