state_id,state_name,sample_count,mean_rv,std_rv,median_rv
0,Empty 0 Out,49630,-0.002930,0.386193,-0.189000
1,1B 0 Out,10770,0.006295,0.387750,-0.165000
2,2B 0 Out,4007,0.008399,0.375655,-0.192000
3,1B2B 0 Out,2939,0.005164,0.381560,-0.194000
4,3B 0 Out,425,0.026939,0.333285,-0.157000
5,1B3B 0 Out,915,0.024143,0.379050,-0.206000
6,2B3B 0 Out,738,0.029123,0.365899,-0.169000
7,Loaded 0 Out,813,0.026588,0.354003,-0.203000
8,Empty 1 Out,36279,0.000544,0.415093,-0.180000
9,1B 1 Out,13150,0.004488,0.422019,-0.216000
10,2B 1 Out,5650,0.014825,0.405172,-0.201000
11,1B2B 1 Out,4978,0.005741,0.402005,-0.211000
12,3B 1 Out,1749,0.031296,0.373484,-0.105000
13,1B3B 1 Out,2049,0.026235,0.377151,-0.138000
14,2B3B 1 Out,1737,0.042708,0.381739,-0.137000
15,Loaded 1 Out,1767,0.028121,0.372532,-0.162000
16,Empty 2 Out,29027,0.005037,0.524170,-0.182000
17,1B 2 Out,13291,0.021419,0.514968,-0.183000
18,2B 2 Out,7428,0.024552,0.462848,-0.208000
19,1B2B 2 Out,5976,0.033889,0.474836,-0.191000
20,3B 2 Out,2848,0.025692,0.440438,-0.192000
21,1B3B 2 Out,2783,0.036319,0.469639,-0.194000
22,2B3B 2 Out,2034,0.030565,0.458784,-0.211000
23,Loaded 2 Out,2123,0.003519,0.393902,-0.203000
