Player,Position,MLB_Team,Pct_Owned,Total_Points,Projected_Points,Injury_Status,HR,RBI,R,SB,AVG,W,ERA,WHIP,K,SV
Hunter Goodman,C,Col,72.69,29.0,286.0,ACTIVE,5.0,8.0,13.0,1.0,0.25757576,0.0,0.0,0.0,0.0,0.0
Alejandro Kirk,C,Tor,47.18,11.0,273.0,TEN_DAY_DL,1.0,2.0,2.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0
Gabriel Moreno,C,Ari,26.26,19.0,241.0,TEN_DAY_DL,0.0,5.0,6.0,0.0,0.275,0.0,0.0,0.0,0.0,0.0
Samuel Basallo,C,Bal,21.46,19.0,214.0,ACTIVE,3.0,4.0,6.0,0.0,0.15686275,0.0,0.0,0.0,0.0,0.0
Carter Jensen,C,KC,19.87,23.0,170.0,ACTIVE,4.0,10.0,6.0,0.0,0.22222222,0.0,0.0,0.0,0.0,0.0
J.T. Realmuto,C,Phi,19.22,14.0,205.0,ACTIVE,1.0,4.0,5.0,0.0,0.27272727,0.0,0.0,0.0,0.0,0.0
Ryan Jeffers,C,Min,14.94,35.0,226.0,ACTIVE,2.0,10.0,10.0,0.0,0.28888889,0.0,0.0,0.0,0.0,0.0
Austin Wells,C,NYY,12.24,13.0,199.0,ACTIVE,1.0,1.0,4.0,0.0,0.19148936,0.0,0.0,0.0,0.0,0.0
Kyle Teel,C,ChW,9.2,0.0,206.0,TEN_DAY_DL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carson Kelly,C,ChC,7.47,37.0,190.0,ACTIVE,1.0,7.0,7.0,0.0,0.33333333,0.0,0.0,0.0,0.0,0.0
Nick Fortes,C,TB,5.96,20.0,114.0,ACTIVE,1.0,7.0,4.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0
Gary Sanchez,C,Mil,4.96,36.0,77.0,ACTIVE,5.0,9.0,7.0,0.0,0.27272727,0.0,0.0,0.0,0.0,0.0
Logan O'Hoppe,C,LAA,4.04,16.0,153.0,ACTIVE,1.0,8.0,5.0,0.0,0.21818182,0.0,0.0,0.0,0.0,0.0
Dalton Rushing,C,LAD,3.97,33.0,108.0,ACTIVE,4.0,8.0,7.0,0.0,0.52941176,0.0,0.0,0.0,0.0,0.0
Carlos Narvaez,C,Bos,1.9,-8.0,196.0,ACTIVE,0.0,0.0,3.0,0.0,0.19512195,0.0,0.0,0.0,0.0,0.0
Tyler Stephenson,C,Cin,1.89,14.0,177.0,ACTIVE,2.0,3.0,3.0,0.0,0.175,0.0,0.0,0.0,0.0,0.0
Victor Caratini,C,Min,1.77,27.0,124.0,ACTIVE,1.0,8.0,5.0,0.0,0.25925926,0.0,0.0,0.0,0.0,0.0
Bo Naylor,C,Cle,1.61,4.0,184.0,ACTIVE,0.0,2.0,0.0,0.0,0.15789474,0.0,0.0,0.0,0.0,0.0
Keibert Ruiz,C,Wsh,1.3,13.0,213.0,ACTIVE,1.0,8.0,3.0,0.0,0.17142857,0.0,0.0,0.0,0.0,0.0
Patrick Bailey,C,SF,1.14,3.0,163.0,ACTIVE,0.0,1.0,3.0,1.0,0.12765957,0.0,0.0,0.0,0.0,0.0
Sean Murphy,C,Atl,1.12,0.0,162.0,TEN_DAY_DL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Miguel Amaya,C,ChC,1.12,17.0,90.0,ACTIVE,1.0,4.0,7.0,0.0,0.26666667,0.0,0.0,0.0,0.0,0.0
Edgar Quero,C,ChW,0.78,-3.0,168.0,ACTIVE,0.0,1.0,1.0,1.0,0.15909091,0.0,0.0,0.0,0.0,0.0
Danny Jansen,C,Tex,0.75,11.0,139.0,ACTIVE,1.0,6.0,3.0,0.0,0.23255814,0.0,0.0,0.0,0.0,0.0
Daniel Susac,C,SF,0.72,18.0,15.0,ACTIVE,0.0,5.0,1.0,0.0,0.5625,0.0,0.0,0.0,0.0,0.0
Freddy Fermin,C,SD,0.63,3.0,152.0,DAY_TO_DAY,0.0,2.0,7.0,0.0,0.16129032,0.0,0.0,0.0,0.0,0.0
Christian Vazquez,C,Hou,0.6,25.0,30.0,ACTIVE,1.0,9.0,4.0,0.0,0.37037037,0.0,0.0,0.0,0.0,0.0
Kyle Higashioka,C,Tex,0.58,14.0,154.0,ACTIVE,1.0,3.0,5.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0
Pedro Pages,C,StL,0.5,7.0,141.0,ACTIVE,1.0,5.0,3.0,1.0,0.20588235,0.0,0.0,0.0,0.0,0.0
Henry Davis,C,Pit,0.5,15.0,110.0,ACTIVE,0.0,3.0,5.0,1.0,0.21621622,0.0,0.0,0.0,0.0,0.0
